Artist,Name,Date,ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
Jenny Owen Youngs,Here is a Heart,2021-11-23,2Q1nBjqwQQQqwQ0CpIkmdO,0.565,0.478,7,-7.732,0.0258,0.765,0.00993,0.167,0.304,111.954,263413
Mollylele,Pantsuit Sasquatch,2021-11-15,7HqjamADDtRk2TN96CYkHm,0.817,0.304,8,-11.501,0.155,0.753,0,0.103,0.562,106.015,206314
Gender Roles,Always,2021-11-13,0ZgyEfWfzDXZL6gA9SAKbU,0.374,0.889,1,-4.304,0.0734,0.000115,0.203,0.0778,0.411,159.053,252000
Taylor Swift,You Belong With Me,2021-11-10,3as6Wz3mwbTnusWhZjTUNr,0.687,0.771,6,-4.424,0.0384,0.164,2.46e-05,0.112,0.445,129.964,231147
Arlie,didya think,2021-11-08,4HOg84QsolNLzNp08qZ3sX,0.468,0.89,4,-2.974,0.0701,0.00415,1.21e-05,0.508,0.709,140.265,200467
The Rigs,All the King's Men,2021-10-26,4eohxF8VpdWD5lPLuYNUPz,0.154,0.65,2,-9.341,0.0463,0.000931,0.733,0.305,0.104,69.636,282254
The Rigs,Devil's Playground,2021-10-26,3WdHywW5eesvHX9pj5z8eT,0.41,0.496,9,-10.22,0.0376,0.332,1.17e-05,0.114,0.454,71.105,202881
Circadian Clock,Summer,2021-10-26,08MjeBiHlinMM6VHH0kvQN,0.695,0.742,0,-7.927,0.0296,0.00269,1.73e-05,0.0763,0.967,130.055,155984
Back Alley Sound,Long Gone,2021-10-26,1UIjm0sXr5XUt3XXPDgkMd,0.606,0.754,9,-7.267,0.129,0.0413,0,0.0553,0.455,75.103,271627
Sean Bertram,The Muffin Song,2021-10-22,67RPI67NkMPisPwUPROgVo,0.85,0.356,1,-10.986,0.0448,0.863,0,0.102,0.554,112.033,83596
Em Beihold,Infrared,2021-10-22,2J58psSvu0lYyj2hcQjlyT,0.594,0.479,9,-10.904,0.0495,0.474,3.74e-05,0.0568,0.276,95.009,225190
Занавес,Занавес,2021-10-20,4QgSAfOYNqQA3320fpSc6s,0.857,0.59,11,-8.109,0.151,0.605,0,0.0641,0.68,140.006,156857
